instructions: If in doubt, check dictionary entries (I used Merriam-Webster and OED). If one of two words in a cell should be included, but the other one shouldn't, please add an additional line to separate the words. 				
words	explanation	Polysemous between a social category and something else?  (yes/no)	Dominant sense = derogatory name for a social category? (yes/other sense)	Include in the analysis? (yes/no)
Abe ,  Abie	(North America) a Jewish male. From the proper name Abraham. Originated before the 1950s.[1]	yes	slur sense not in dictionaries	no
ABC	(East Asia) American-born Chinese, Han or other Chinese (including Taiwanese) born and raised in the United States. The term implies an otherness or lack of connection to their Chinese identity and (usually) Chinese language; however, it has been reappropriated by many Chinese Americans and used to convey positive connotations.[2]	yes	alphabet and a number of acronyms	no
ABCD	(South Asians in the US) American-Born Confused Desi, Indian Americans, Pakistani Americans or other South Asians, (desi) who were born in the United States. Used chiefly by South Asian immigrants to imply confusion about cultural identity.[3]	yes	accelerated business collection and delivery, MW, not in OED	no
Abib	(Middle East and North Africa) an Arabic term for slave, often used as a racial slur against black Africans and is associated with the Arab slave trade.[4]	yes	ancient Hebrew calendar	no
Abo	(AUS) Australian Aboriginal person. Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas, Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is deliberately to offend, as that word's status as an insult is unequivocal.[5]	no		yes
Ann	"(North America) a white woman to a black person—or a black woman who acts ""like a white woman"". While Miss Ann, also just plain Ann, is a derisive reference to white women, it is also applied to any black woman who is deemed to be acting as though she is white.[9]"	yes	first name	no
Ape	A black person, referring to outdated theories ascribing cultural differences between ethnic groups as being linked to their evolutionary distance from chimpanzees, with which humans share common ancestry.[13][14]	yes	monkey	no
Apple	"(North America) an American Indian (Native American) who is ""red on the outside, white on the inside."" Used primarily by other American Indians to indicate someone who has lost touch with their cultural identity. First used in the 1970s.[15]"	yes	fruit	no
Banana	(North America; UK; Malaysia) an East or Southeast Asian person living in a Western country (e.g., an Asian American) who is yellow on the outside, white on the inside. Used primarily by East or Southeast Asians to indicate someone who has lost touch with the cultural identity of his or her parents.[20]	yes	fruit	no
bosch	"(France; US; UK) a German (shortened from the French term caboche dure ""hard head"" or ""stubborn"").[26]"	yes	painter	no
Boeotian	A term used by the Athenians, referring to the supposed stupidity of the inhabitants of the neighboring Boeotia region of Greece.[27]	no		yes
bong , bung	"(Aus) Australian aboriginal.[34] Boong, pronounced with ʊ (like the vowel in bull), is related to the Australian English slang word bung, meaning ""dead"", ""infected"", or ""dysfunctional"". From bung, to go bung ""Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]"".[35] First used in 1847 by J. D. Lang, Cooksland, 430.[35]"	yes	bong: sound, water pipe, ethnic sense not listed; bung:  A stopper; spec. a large cork stopper for the ‘mouth’ of a cask, i.e. the hole in the bulge by which it is filled.no slur sense listed	no
Brownie	a. (US) a person of mixed white and black ancestry; a mulatto. b. (US) a young, brown-skinned person 1940s–1950s.[39]	yes	food	no
Charlie	"a. (African American, 1960s-1970s) white people as a reified collective oppressor group, similar to The Man or The System.[49] b. (Vietnam War military slang) Slang term used by American troops as a shorthand term for Vietnamese guerrillas, derived from the verbal shorthand for ""Victor Charlie"", the NATO phonetic alphabet for VC, the abbreviation for Viet Cong.[50] The (regular) North Vietnamese Army was referred to as ""Mr. Charles"".[51][52]"	yes	first name	no
Chinaman	found offensive, although it is a calque of the Chinese 中國人. It was used in the gold rush and railway-construction eras in western North America, when discrimination against Chinese was common.[61]	no		yes
Chink	(US, UK, NZ) people of Chinese descent.[62][63]	yes	cleft, gasp for breath	no
Chug	(Canada) refers to an individual of aboriginal descent.[73] See Chugach for the native people.	yes	explosive sound, verb	no
Coconut	"Named after the coconut, the nut from the coconut palm; in the American sense, it derives from the fact that a coconut is brown on the outside and white on the inside (see also ""Oreo"" below). (US) a person of Hispanic descent who is accused of acting ""white"".[77] (US/SA) a black person who is accused of ""trying to be white"".[78] (UK) a brown person of South Asian descent who has assimilated into Western culture.[79][80][81] (New Zealand/Australia) a Pacific Islander.[82]"	yes	fruit	no
Coolie	"(North America) unskilled Asian laborer, usually Chinese (originally used in 19th-century for Chinese railroad laborers). Possibly from Mandarin ""苦力"" ku-li (literally bitter strength). Possibly from Hindi kuli, day laborer.[83] Also racial epithet for Indo-Caribbean people, especially in Guyana, Trinidad and Tobago and South African Indians.[84]"	no		yes
Coon	"(US, UK) a black person. Possibly from Portuguese barracão or Spanish barracón, a large building constructed to hold merchandise, where slaves were kept for sale, anglicised to barracoon (1837).[85][86] Popularized by the song ""Zip Coon"", played at Minstrel shows in the 1830s. (Australia) An Aboriginal Australian[87] (New Zealand) A Pacific Islander[88]"	yes	racoon, insult (MW); not listed in OED	no
Cracker	(US) a poor Appalachian or poor Southerner, a white person, first used in the 19th century.[92] It is sometimes used specifically to refer to a native of Florida or Georgia.[93] Also used in a more general sense in North America to refer to white people disparagingly.	yes	food, but insult sense also listed	no
Crow	a black person,[94] especially a black woman.	yes	bird	no
Cushi	Term originating from the Hebrew Bible, generally used to refer to a dark skinned person usually of African descent. Originally merely descriptive, in present-day Israel it increasingly assumed a pejorative connotation and is regarded as insulting by Ethiopian Israelis and by African migrant workers and asylum seekers in Israel.[96]	yes	not listed, 'chushy' as adjective in the sense of soft, comfortable (easy, not much effort)	no
Dot	derogatory term for South Asians referring to the bindi.[104][105]	yes	shape	no
Eskimo	"The two main peoples known as ""Eskimo"" are: the Inuit of Canada, Northern Alaska (sub-group ""Inupiat""), and Greenland; and the Yupik of eastern Siberia and Alaska. This name is considered derogatory because it was given by non-Inuit people and was said to mean ""eater of raw meat.""[108] In 1977, the Inuit Circumpolar Conference meeting in Barrow, Alaska, officially adopted ""Inuit"" as a designation for all Eskimo peoples, regardless of their local usages."	no		yes
Flip	(United States) ethnic slur applied to Filipinos.[110]	yes	verb to flip (e.g. a coin)	no
FOB	"(North America) a recent Chinese immigrant, from ""Fresh Off the Boat"". Used most commonly by American-born Chinese (see ""ABC"" above) to refer disparagingly to newcomers.[2]"	yes	other acrony: free on boat, chain of a pocket watch,	no
Fritz	"(UK, France, Hungary (""fricc""), Poland [Fryc], Russia [фриц] ) a German [from Friedrich (Frederick)].[111]"	yes	first name	no
Frog	(Canada, UK and US) a French person. Before the 19th century, referred to the Dutch (as they were stereotyped as being marsh-dwellers). When France became Britain's main enemy, replacing the Dutch, the epithet was transferred to them, because of the French penchant for eating frogs' legs (see comparable French term Rosbif).[112] Also used in Canada to refer to both the French and French Canadians, and occasionally incorrectly as more broadly to people from Quebec who are not all French or French-speaking.[113]	yes	animal	no
Gable	a black person.[43][115]			
Gin	(AUS) an Aboriginal woman.[117]	yes	drink	no
Guido	(US) An Italian American male. Derives from the Italian given name, Guido. Used mostly in the Northeastern United States as a stereotype for working-class urban Italian Americans.[137] A female equivalent may be guidette.[138]	yes	first name	no
Guinea	"A person of Italian birth or descent. Most likely derived from ""Guinea Negro,"" implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive ""Ginzo"" probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.[139]"	yes	region	no
Gypsy	a. A Romani people. b. (UK and Australia) Egyptians.[142]	no		yes
Hajji	(US) Used to refer to Iraqis, Arabs, Afghans, or Middle Eastern and South Asian people in general. Derived from the honorific Al-Hajji, the title given to a Muslim who has completed the Hajj (pilgrimage to Mecca).[144]	yes	insulting sense not listed	no
Hebe	"(US) a Jewish person, derived from the word ""Hebrew"".[146][147]"	no		yes
Honky	"(US, NZ) a white person. Derived from an African American pronunciation of ""hunky"", the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.[149] In New Zealand honky is used by Māori to describe New Zealanders of European descent.[150]"	yes	different ethnic groups	yes
Hun	"a. (US and UK) Germans, especially German soldiers; popular during World War I.[152] Derived from a speech given by Kaiser Wilhelm of Germany to the German contingent sent to China during the Boxer Rebellion in which he exhorted them to ""be like Huns"" (i.e., savage and ruthless) to their Chinese enemy. b. An offensive term for a Protestant in Northern Ireland or historically, a member of the British military in Ireland (""Britannia's huns"").[153][154]"	yes	polysemous between various ethnicities	yes
ike ,Ikey	a Jew [from Isaac][157]	yes	Jew sense not listed (only in a different spelling)	no
Injun	"a Native American, corrupted ""Indian"".[161]"	no		yes
Jap	"a. (US, especially during World War II) a Japanese soldier or national, or anyone of Japanese descent. b. (US, Post-WWII, usually written JAP) an acronym for ""Jewish American Princess"", a pejorative stereotype of certain Jewish American females as materialistic or pampered."	no		yes
Jerry	(Commonwealth, especially during World War II): a. a German national. b. a German soldier [Probably an alteration of German].[163] Origin of Jerry can.	yes	first name (checked coha)	no
jig	"(US and UK)[164] term for a black person with stereotypical black features (e.g. dark skin, wide nose, and big lips).[165] Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning ""they bow the head docilely"", indicating meek or servile individuals.[166]"	yes	dance	no
Jock	"(UK) a Scottish person, Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used as an insult,[167] but also in respectful reference to élite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs. In Ian Rankin's detective novel ""Tooth & Nail"" the protagonist - a Scottish detective loaned to the London police - suffers from prejudice by English colleagues who frequently use ""Jock"" and ""Jockland"" (Scotland) as terms of insult; the book was based on the author's own experience as a Scot living in London."	yes	athlete	no
kaffir ,Kaffir , kafir	a. (South Africa) a black person. b. also caffer or caffre: a non-Muslim (regardless of race). c. a member of a people inhabiting the Hindu Kush mountains of north-east Afghanistan. Origin is from the Arab word kafir meaning infidel.[169][170] See also Kaffir (Historical usage in southern Africa)	yes	no, dominant sense is insult	yes
Kanaka	in Australian English, as an offensive term for a Pacific Islander.[172][173]	no		yes
Kano	"(Filipino) Filipino slang for Americans. Shortened from the Tagalog word ""Amerikano.""[174]"	yes	name of a city, other meaning not listed	no
Macaca	originally used by francophone colonists in North Africa,[188] also used in Europe as derogatory term against Immigrants from Africa.[189]	yes	monkey	no
Majus	"""majoos"", (ماجوس) Arab slur against Persians, meaning Zoroastrian, Magi."	yes	right to roman citizenship (no other meaning listed in MW), not in OED	no
Mick	A person of Irish descent.[202]	yes	first name	no
Niger ,Nigger , nig , nigra	(International) Black. From the Spanish and Portuguese word negro, derived from the Latin niger.	no		yes
Nip	(US and UK) someone of Japanese descent (shortened version of Nipponese, from Japanese name for Japan, Nippon)[214]	yes	verb	no
Paddy	"(Primarily UK) an Irishman.[224] derived from Pádraig/Patrick/Patty. Often derogatory; however, Lord Edward FitzGerald, a major leader of the United Irishmen of 1798,[225] was proclaimed by his Sister proudly ""a Paddy and no more"" and stated that ""he desired no other title than this"".[226]"	yes	first name	no
Pancake	an Asian person[233]	yes	food	no
Pepper , Pepsi	(Canada) a French Canadian or Québécois.[236][237] Derived from the Anglo-Canadian jibe that their stereotypically bad dental hygiene was due to drinking Pepsi or Dr Pepper for breakfast.	yes	spice, drink	no
Pollock	(Primarily US) a Pole or a person of Polish or Slavic origin,[248] from the Polish endonym, Polak (see Name of Poland). Note: the proper Swedish demonym for Polish people is polack[249] and the Norwegian equivalent is polakk.[250]	yes	painter	no
Pom	(AUS/NZ/SA) a British (usually English)[251] immigrant.	yes	dog breed, dish, but the slur sense is listed as the first one in Merriam WEbster	yes
Sambo	(US) an African American, black, or sometimes a South Asian person.[262]	yes	insult for black person, wrestling style	yes
Sassenach	(Scottish, Gaelic) an English person[265]	no		yes
Sawney	"(England, archaic) a Scottish person, local variant of Sandy, short for ""Alasdair"".[266]"	yes	adj foolish	no
Septic	(Australian/British) An American. (Cockney rhyming slang: Septic tank – Yank)[271]	yes	adjective (sepsis)	no
Shine	(US) a black person (from shoeshiner).[277]	yes	verb to shine	no
Shylock	A Jew, or more specifically, a greedy or usurious Jewish person. From the antagonistic character of Shylock, a Jewish money-lender, in William Shakespeare's play The Merchant of Venice.[280]	yes	someone who lends money at high interest (related to insult for jews, but too broad)	no
pussy	Asian women, particularly Chinese women.[281]	yes	cat, sexual term	no
Skinny	(US) A term for Somali militia fighters[282]	yes	physical attribute, slim	no
Skip	(Aus) An Australian, especially one of British descent, from the children's television series Skippy the Bush Kangaroo[283]	yes	verb: to leave out, to move over	no
Slope 	(Aus, UK, and US) a person of Asian (in Australia, especially Vietnamese; in America, especially Chinese) descent.[284][285] Also slant, slant eye.[286][287]	yes	shape of the ground	no
sloper	(Aus, UK, and US) a person of Asian (in Australia, especially Vietnamese; in America, especially Chinese) descent.[284][285] Also slant, slant eye.[286][287]	no		yes
sloppy	Derogatory term used towards Spanish nationals in Gibraltar.[citation needed]	yes	adjective careless	no
Sooty	a black person [originated in the US in the 1950s][291]	yes	adjective (colored black	no
Spade	a black person, recorded since 1928 (OED), from the playing cards suit.[294]	yes	shape, tool, playing card, but similar as black and white	yes
Spic , spick	"a. (US) a person of Hispanic descent. First recorded use in 1915. Theories include from ""no spik English"" (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of ""Hispanic"". b. the Spanish language.[296]"	no		yes
Squaw	"(US and CAN) a female Native American.[300] Derived from lower East Coast Algonquian (Massachuset: ussqua),[301] which originally meant ""young woman"", but which took on strong negative connotations in the late 20th century. (The equivalent derisive for a male is ""buck"", and for a child, ""papoose"".)"	no		yes
Taff ,Taffy	(UK) a Welsh person. First used ca. 17th century. From the River Taff or the Welsh pronunciation of the name David (in Welsh, Dafydd).[305]	yes	candy	no
Teague	used by loyalists in Northern Ireland for members of the nationalist/Catholic/Gaelic community. Derived the Irish name Tadhg, often mistransliterated as Timothy.[306][307]	no		yes
Teapot	(British) A black person. [19th century][309]	yes	pot	no
Terrorist	(English-speaking world) An Arab or Middle Easterner.[311][312][313][314]	no		yes
Tinker	"a. (Britain and Ireland) an inconsequential person (typically lower-class); (note that in Britain, the term ""Irish Tinker"" may be used, giving it the same meaning as example b.) b. (Scotland and Ireland) a Gypsy [origin unknown – possibly relating to one of the 'traditional' occupations of Gypsies as travelling 'tinkerers' or repairers of common household objects][316] c. (Scotland) a member of the native community; previously itinerant (but mainly now settled); who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as ""travelling tinsmiths"", possibly derived from a reputation for rowdy and alcoholic recreation. Often confused with Gypsy/Romani people."			
Turk	(South Wales) Often used to describe a person from Llanelli. The origin of this is uncertain; some theories suggest it due to Llanelli's popularity with Turkish sailors in the late 19th to early 20th century or possibly when Turkish migrants heading for the US stopped in Llanelli and decided to settle due to there being jobs available. However, most likely it's due to the fact that during World War One there was a trade embargo in place during Gallipoli, but Llanelli continued to trade tin with the Turkish; this led to people from neighbouring Swansea and other surrounding areas referring to them as Turks.[323]	no		yes
WASP	White Anglo-Saxon Protestant	yes (if all lower case)	insect	no
Whitey	a term for a Caucasian.[when defined as?][332]	no		yes
Yank	"a contraction of ""Yankee"" below, first recorded in 1778 and employed internationally by speakers of British English in informal reference to all Americans generally.[335]"	yes	verb to yank (pull)	no
Yankee	"from Dutch, possibly from Janke (""Johnny"") or a dialectical variant of Jan Kaas (""John Cheese"").[335] First applied by the Dutch colonists of New Amsterdam to Connecticuters and then to other residents of New England, ""Yankee"" remains in use in the American South in reference to Northerners, often in a mildly pejorative sense."	no		yes
Yellow	designating or pertaining to an East or southeast Asian person, in reference to those who have a yellowish skin color.[336]	yes	color, but probably less used than black and white	no
Zip	"an Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket, Premium Rush and Gran Torino.[340][341][342] The phrase ""zips in the wire"" from Platoon has also been used outside of this context. See also ""Zip"" in List of disability-related terms with negative connotations."	yes	sound, zip code	no
